 * Serving Flask app "app" (lazy loading)
 * Environment: production
   WARNING: Do not use the development server in a production environment.
   Use a production WSGI server instead.
 * Debug mode: on
 * Running on http://0.0.0.0:5000/ (Press CTRL+C to quit)
 * Restarting with stat
 * Debugger is active!
[2019-03-28 09:44:59,856] INFO in functions: Namespace graylog, elasticsearch-kibana-545d676f56-2znkq
[2019-03-28 09:44:59,856] INFO in functions: Namespace graylog, elasticsearch-master-84d84f557f-2c22g
[2019-03-28 09:44:59,856] INFO in functions: Namespace graylog, elasticsearch-master-84d84f557f-kthsx
[2019-03-28 09:44:59,856] INFO in functions: Namespace graylog, elasticsearch-master-84d84f557f-qjhqv
[2019-03-28 09:44:59,856] INFO in functions: Namespace graylog, fluentd-9dfbc7b4d-ktrw8
[2019-03-28 09:44:59,856] INFO in functions: Namespace graylog, graylog-master-0
[2019-03-28 09:44:59,856] INFO in functions: Namespace graylog, graylog-mongodb-0
[2019-03-28 09:44:59,857] INFO in functions: Namespace graylog, graylog-rabbitmq-cluster-node-0
[2019-03-28 09:44:59,857] INFO in functions: Namespace graylog, graylog-rabbitmq-cluster-node-1
[2019-03-28 09:44:59,857] INFO in functions: Namespace graylog, graylog-rabbitmq-cluster-node-2
[2019-03-28 09:44:59,857] INFO in functions: CHECKING NAMESPACE groundhog
[2019-03-28 09:44:59,929] INFO in functions: Namespace groundhog, elasticsearch-55dc85954f-qhq7n
[2019-03-28 09:44:59,929] INFO in functions: Namespace groundhog, graylog-56dfcb68b-nzfbb
[2019-03-28 09:44:59,929] INFO in functions: Namespace groundhog, kibana-665554c97c-8s84d
[2019-03-28 09:44:59,930] INFO in functions: Namespace groundhog, mongoadmin-b9c4f7c7b-f5bv2
[2019-03-28 09:44:59,930] INFO in functions: Namespace groundhog, mongodb-6b75c9cb58-nx9bs
[2019-03-28 09:44:59,930] INFO in functions: Namespace groundhog, phpmyadmin-7b9db876f6-fqfp8
[2019-03-28 09:44:59,930] INFO in functions: Namespace groundhog, rabbitmq-cff746497-xzm2g
[2019-03-28 09:44:59,930] INFO in functions: Namespace groundhog, ysis-admin-584b7f5c56-dnhrg
[2019-03-28 09:44:59,930] INFO in functions: Namespace groundhog, ysis-core-66f7fdb448-rc2mn
[2019-03-28 09:44:59,931] INFO in functions: CHECKING NAMESPACE ingress-nginx
[2019-03-28 09:44:59,992] INFO in functions: Namespace ingress-nginx, default-http-backend-6c59748b9b-pp9b7
[2019-03-28 09:44:59,993] INFO in functions: Namespace ingress-nginx, nginx-ingress-controller-cbxb4
[2019-03-28 09:44:59,993] INFO in functions: Namespace ingress-nginx, nginx-ingress-controller-dg8c7
[2019-03-28 09:44:59,993] INFO in functions: Namespace ingress-nginx, nginx-ingress-controller-nlrpg
[2019-03-28 09:44:59,993] INFO in functions: Namespace ingress-nginx, nginx-ingress-controller-wl495
[2019-03-28 09:44:59,993] INFO in functions: CHECKING NAMESPACE jenkins
[2019-03-28 09:45:00,053] INFO in functions: Namespace jenkins, deamonset-update-builder-image-6hzsn
[2019-03-28 09:45:00,054] INFO in functions: Namespace jenkins, deamonset-update-builder-image-fqgbr
[2019-03-28 09:45:00,054] INFO in functions: Namespace jenkins, deamonset-update-builder-image-gv4hk
[2019-03-28 09:45:00,054] INFO in functions: Namespace jenkins, deamonset-update-builder-image-phkhr
[2019-03-28 09:45:00,054] INFO in functions: CHECKING NAMESPACE jenkins-master
[2019-03-28 09:45:00,103] INFO in functions: Namespace jenkins-master, jenkins-0
[2019-03-28 09:45:00,104] INFO in functions: CHECKING NAMESPACE kube-public
[2019-03-28 09:45:00,150] INFO in functions: CHECKING NAMESPACE kube-system
[2019-03-28 09:45:00,278] INFO in functions: Namespace kube-system, canal-6drjp
[2019-03-28 09:45:00,278] INFO in functions: Namespace kube-system, canal-6p9g4
[2019-03-28 09:45:00,278] INFO in functions: Namespace kube-system, canal-dwlqd
[2019-03-28 09:45:00,278] INFO in functions: Namespace kube-system, canal-qbrwf
[2019-03-28 09:45:00,279] INFO in functions: Namespace kube-system, canal-rvxvw
[2019-03-28 09:45:00,279] INFO in functions: Namespace kube-system, coredns-5b7c87fdcd-dcnh2
[2019-03-28 09:45:00,279] INFO in functions: Namespace kube-system, coredns-5b7c87fdcd-gjq8j
[2019-03-28 09:45:00,279] INFO in functions: Namespace kube-system, coredns-5b7c87fdcd-lv58q
[2019-03-28 09:45:00,279] INFO in functions: Namespace kube-system, coredns-5b7c87fdcd-n9cnz
[2019-03-28 09:45:00,279] INFO in functions: Namespace kube-system, coredns-5b7c87fdcd-p6bmm
[2019-03-28 09:45:00,279] INFO in functions: Namespace kube-system, hostpath-provisioner-7b647c57dd-6hvch
[2019-03-28 09:45:00,279] INFO in functions: Namespace kube-system, kube-apiserver-10.91.38.210
[2019-03-28 09:45:00,280] INFO in functions: Namespace kube-system, kube-apiserver-10.91.39.210
[2019-03-28 09:45:00,280] INFO in functions: Namespace kube-system, kube-apiserver-10.91.46.210
[2019-03-28 09:45:00,280] INFO in functions: Namespace kube-system, kube-controller-manager-10.91.38.210
[2019-03-28 09:45:00,280] INFO in functions: Namespace kube-system, kube-controller-manager-10.91.39.210
[2019-03-28 09:45:00,280] INFO in functions: Namespace kube-system, kube-controller-manager-10.91.46.210
[2019-03-28 09:45:00,280] INFO in functions: Namespace kube-system, kube-proxy-10.91.38.210
[2019-03-28 09:45:00,280] INFO in functions: Namespace kube-system, kube-proxy-10.91.38.211
[2019-03-28 09:45:00,280] INFO in functions: Namespace kube-system, kube-proxy-10.91.39.210
[2019-03-28 09:45:00,281] INFO in functions: Namespace kube-system, kube-proxy-10.91.39.211
[2019-03-28 09:45:00,281] INFO in functions: Namespace kube-system, kube-proxy-10.91.46.210
[2019-03-28 09:45:00,281] INFO in functions: Namespace kube-system, kube-scheduler-10.91.38.210
[2019-03-28 09:45:00,281] INFO in functions: Namespace kube-system, kube-scheduler-10.91.39.210
[2019-03-28 09:45:00,281] INFO in functions: Namespace kube-system, kube-scheduler-10.91.46.210
[2019-03-28 09:45:00,281] INFO in functions: Namespace kube-system, kubernetes-dashboard-69756ccc4c-l89qn
[2019-03-28 09:45:00,282] INFO in functions: Namespace kube-system, prometheus-6f65c7456c-7tsw2
[2019-03-28 09:45:00,282] INFO in functions: Namespace kube-system, stash-operator-85c55d88c-lm28s
[2019-03-28 09:45:00,282] INFO in functions: Namespace kube-system, tiller-deploy-694dc94c65-jvlq4
[2019-03-28 09:45:00,282] INFO in functions: CHECKING NAMESPACE kubernetes-label-checker
[2019-03-28 09:45:00,331] INFO in functions: Namespace kubernetes-label-checker, kubernetes-label-checker-59bf74c844-pj2lq
[2019-03-28 09:45:00,331] INFO in functions: CHECKING NAMESPACE kubernetes-pvc-checker
[2019-03-28 09:45:00,382] INFO in functions: Namespace kubernetes-pvc-checker, kubedog-56bc567d55-4cnrl
[2019-03-28 09:45:00,382] INFO in functions: CHECKING NAMESPACE logging
[2019-03-28 09:45:00,480] INFO in functions: Namespace logging, elasticsearch-data-tcn-0
[2019-03-28 09:45:00,480] INFO in functions: Namespace logging, elasticsearch-data-tcn-1
[2019-03-28 09:45:00,481] INFO in functions: Namespace logging, elasticsearch-data-wp-0
[2019-03-28 09:45:00,481] INFO in functions: Namespace logging, elasticsearch-data-wp-1
[2019-03-28 09:45:00,481] INFO in functions: Namespace logging, elasticsearch-ingest-0
[2019-03-28 09:45:00,481] INFO in functions: Namespace logging, elasticsearch-ingest-1
[2019-03-28 09:45:00,481] INFO in functions: Namespace logging, elasticsearch-ingest-2
[2019-03-28 09:45:00,481] INFO in functions: Namespace logging, elasticsearch-master-0
[2019-03-28 09:45:00,481] INFO in functions: Namespace logging, elasticsearch-master-1
[2019-03-28 09:45:00,481] INFO in functions: Namespace logging, elasticsearch-master-2
[2019-03-28 09:45:00,482] INFO in functions: Namespace logging, es-exporter-6cb4547f76-txmxr
[2019-03-28 09:45:00,482] INFO in functions: Namespace logging, graylog-0
[2019-03-28 09:45:00,482] INFO in functions: Namespace logging, graylog-1
[2019-03-28 09:45:00,482] INFO in functions: Namespace logging, graylog-2
[2019-03-28 09:45:00,482] INFO in functions: Namespace logging, graylog-3
[2019-03-28 09:45:00,482] INFO in functions: Namespace logging, mongo-0
[2019-03-28 09:45:00,482] INFO in functions: Namespace logging, mongo-backup-1553566920-9cg92
[2019-03-28 09:45:00,482] INFO in functions: Namespace logging, mongo-backup-1553653320-tk4cp
[2019-03-28 09:45:00,482] INFO in functions: Namespace logging, mongo-backup-1553739720-46cfk
[2019-03-28 09:45:00,483] INFO in functions: CHECKING NAMESPACE nexus-repository
[2019-03-28 09:45:00,534] INFO in functions: Namespace nexus-repository, nexus-repository-77c97988fc-h6kdq
[2019-03-28 09:45:00,534] INFO in functions: CHECKING NAMESPACE nightwatch
[2019-03-28 09:45:00,649] INFO in functions: Namespace nightwatch, elasticsearch-d5d585df5-5qqr2
